probename,Probability,foldchange,Representative.Public.ID,UniGene.ID,Gene.Title,Gene.Symbol,,,,
1452138_a_at,1,4.641124253,BB497528,Mm.13451,angiotensin I converting enzyme (peptidyl-dipeptidase A) 2,Ace2,,,,
1437132_x_at,1,4.6136689,BB535494,Mm.288980,"neural precursor cell expressed, developmentally down-regulated gene 9",Nedd9,,,,
1438617_at,1,4.606544312,BB222737,Mm.378112,Transcribed locus,---,,,,
1428471_at,1,4.597199643,BQ176684,Mm.210815,sorbin and SH3 domain containing 1,Sorbs1,,,,
1436796_at,1,4.592804992,BB237072,---,RIKEN cDNA 1110061A14 gene,1110061A14Rik,,,,
1424143_a_at,1,4.58754311,AF477481,Mm.21873,retroviral integration site 2,Ris2,,,,
1416598_at,1,4.581550013,NM_031184,Mm.134072,GLIS family zinc finger 2,Glis2,,,,
1421106_at,1,4.577313832,AA880220,Mm.22398,jagged 1,Jag1,,,,
1455477_s_at,1,4.572050927,AA396586,Mm.30181,PDZK1 interacting protein 1,Pdzk1ip1,,,,
1455549_at,1,4.571114314,BB278422,Mm.27120,SEC14 and spectrin domains 1,Sestd1,,,,
1416322_at,1,4.548715596,NM_054077,Mm.214514,proline arginine-rich end leucine-rich repeat,Prelp,,,,
1449550_at,1,4.531372745,NM_008659,Mm.234502,myosin IC,Myo1c,,,,
1439109_at,1,4.525834438,AV378320,Mm.266831,similar to CTCL tumor antigen se57-1,MGC54896,,,,
1428529_at,1,4.510502659,AK012825,Mm.21798,RIKEN cDNA 2810026P18 gene,2810026P18Rik,,,,
1452253_at,1,4.495622594,AK018666,Mm.311912,cysteine rich transmembrane BMP regulator 1 (chordin like),Crim1,,,,
1453174_at,1,4.488721546,AK010199,Mm.376247,RIKEN cDNA 2310076G13 gene,2310076G13Rik,,,,
1460336_at,1,4.468509533,BB745167,Mm.259072,"peroxisome proliferative activated receptor, gamma, coactivator 1 alpha",Ppargc1a,,,,
1436043_at,1,4.465078582,BB452990,Mm.38127,"sodium channel, voltage-gated, type VII, alpha",Scn7a,,,,
1434406_at,1,4.443477206,BB817145,Mm.276259,SLIT-ROBO Rho GTPase activating protein 2,Srgap2,,,,
1447448_s_at,1,4.443418599,C86813,---,---,---,,,,
1418664_at,1,4.428735964,AK019164,Mm.153039,multiple PDZ domain protein,Mpdz,,,,
1425458_a_at,1,4.418985205,AF022072,Mm.273117,growth factor receptor bound protein 10,Grb10,,,,
1418350_at,1,4.415214032,L07264,Mm.289681,heparin-binding EGF-like growth factor,Hbegf,,,,
1416474_at,1,4.396908771,NM_020043,Mm.209041,neighbor of Punc E11,Nope,,,,
1436544_at,1,4.379678093,BB016769,Mm.32775,"ATPase, Class V, type 10D",Atp10d,,,,
1422818_at,1,4.374956443,NM_017464,Mm.288980,"neural precursor cell expressed, developmentally down-regulated gene 9",Nedd9,,,,
1417130_s_at,1,4.362440218,NM_020581,Mm.196189,angiopoietin-like 4,Angptl4,,,,
1450350_a_at,1,4.340448915,NM_030887,Mm.103560,Jun dimerization protein 2,MGI:1932093,,,,
1417814_at,1,4.329077311,AF162713,Mm.23347,"phospholipase A2, group V",Pla2g5,,,,
1452352_at,1,4.326561379,BG064656,---,cytotoxic T lymphocyte-associated protein 2 beta,Ctla2b,,,,
1428209_at,1,4.324709786,AK010400,Mm.336245,"brain expressed, X-linked 4",Bex4,,,,
1448111_at,1,4.30067381,NM_018737,Mm.2065,cytidine 5'-triphosphate synthase 2,Ctps2,,,,
1456243_x_at,1,4.296227856,BB374534,Mm.1639,myeloid cell leukemia sequence 1,Mcl1,,,,
1417928_at,1,4.291732647,NM_019417,Mm.21830,PDZ and LIM domain 4,Pdlim4,,,,
1417190_at,1,4.285777969,AW989410,Mm.202727,pre-B-cell colony-enhancing factor 1,Pbef1,,,,
1419291_x_at,1,4.283978846,NM_013525,Mm.270065,growth arrest specific 5,Gas5,,,,
1415855_at,1,4.280042066,BB815530,Mm.45124,kit ligand,Kitl,,,,
1436040_at,1,4.278220023,BI180630,Mm.258912,RIKEN cDNA 2310005L22 gene,2310005L22Rik,,,,
1438385_s_at,1,4.267805747,BB068040,Mm.200423,glutamic pyruvate transaminase (alanine aminotransferase) 2,Gpt2,,,,
1436223_at,1,4.217264546,BB504737,Mm.370632,"0 day neonate kidney cDNA, RIKEN full-length enriched library, clone:D630049N15 product:unknown EST, full insert sequence",---,,,,
1434473_at,1,4.214886998,AI647939,Mm.25773,"solute carrier family 16 (monocarboxylic acid transporters), member 5",Slc16a5,,,,
1438773_at,1,4.194563346,BB817972,Mm.274956,Six transmembrane epithelial antigen of prostate 2,Steap2,,,,
1448405_a_at,1,4.175966207,BC010712,Mm.44244,CREBBP/EP300 inhibitory protein 1,Cri1,,,,
1456381_x_at,1,4.171628082,AV274748,Mm.1639,myeloid cell leukemia sequence 1,Mcl1,,,,
1416880_at,1,4.164871597,BC003839,Mm.1639,myeloid cell leukemia sequence 1,Mcl1,,,,
1426670_at,1,4.164218758,BM208224,Mm.273098,agrin,Agrn,,,,
1439029_at,1,4.160378356,BG069993,Mm.200423,glutamic pyruvate transaminase (alanine aminotransferase) 2,Gpt2,,,,
1454997_at,1,4.155524376,AV286522,Mm.169755,methionine sulfoxide reductase B3,Msrb3,,,,
1427275_at,1,4.154237117,BI665568,Mm.206841,SMC4 structural maintenance of chromosomes 4-like 1 (yeast),Smc4l1,,,,
1416250_at,1,4.148532731,NM_007570,Mm.239605,"B-cell translocation gene 2, anti-proliferative",Btg2,,,,
1439151_at,1,4.140451709,BB277041,Mm.169755,methionine sulfoxide reductase B3,Msrb3,,,,
1452197_at,1,4.138285974,AV172948,Mm.206841,SMC4 structural maintenance of chromosomes 4-like 1 (yeast),Smc4l1,,,,
1440799_s_at,1,4.137676981,AI465173,Mm.243091,"FERM, RhoGEF and pleckstrin domain protein 2",Farp2,,,,
1419156_at,1,4.091910412,AI428101,Mm.240627,SRY-box containing gene 4,Sox4,,,,
1425826_a_at,1,4.08586488,AF078667,Mm.210815,sorbin and SH3 domain containing 1,Sorbs1,,,,
1436317_at,1,4.073970146,BM115569,Mm.103539,RIKEN cDNA D230012E17 gene,D230012E17Rik,,,,
1417818_at,1,4.065677075,BC014727,Mm.227202,WW domain containing transcription regulator 1,Wwtr1,,,,
1439484_at,1,4.049707782,BM245060,Mm.355614,RIKEN cDNA 4930431H11 gene,4930431H11Rik,,,,
1454904_at,1,4.048302451,BG976607,Mm.274981,X-linked myotubular myopathy gene 1,Mtm1,,,,
1450505_a_at,1,4.047835868,NM_025459,Mm.25311,RIKEN cDNA 1810015C04 gene,1810015C04Rik,,,,
1428253_at,1,4.026152971,AA881383,Mm.269800,chromatin modifying protein 2B,Chmp2b,,,,
1452264_at,1,4.009653893,BI408679,Mm.29389,tensin like C1 domain-containing phosphatase,Tenc1,,,,
1428988_at,1,3.999188775,AK006128,Mm.23942,"ATP-binding cassette, sub-family C (CFTR/MRP), member 3",Abcc3,,,,
1435016_at,1,3.993971386,BB795263,Mm.222887,"amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 3 (human)",Als2cr3,,,,
1455056_at,1,3.991881163,BM231903,Mm.218981,LIM domain only 7,Lmo7,,,,
1437868_at,1,3.967024365,BE687858,Mm.74610,cDNA sequence BC023892,BC023892,,,,
1419820_at,1,3.942558103,AI182499,Mm.249253,polycystic kidney and hepatic disease 1,Pkhd1,,,,
1423025_a_at,1,3.92648103,NM_013928,Mm.331064,schwannomin interacting protein 1,Schip1,,,,
1435338_at,1,3.923917263,BM238926,Mm.31672,cyclin-dependent kinase 6,Cdk6,,,,
1426817_at,1,3.920344679,X82786,Mm.4078,antigen identified by monoclonal antibody Ki 67,Mki67,,,,
1428671_at,1,3.920153375,AK008617,Mm.46332,RIKEN cDNA 2200002D01 gene,2200002D01Rik,,,,
1424175_at,1,3.914668134,BC017689,Mm.270278,thyrotroph embryonic factor,Tef,,,,
1435777_at,1,3.912249659,BB794845,Mm.323386,RIKEN cDNA E030018N11 gene,E030018N11Rik,,,,
1419248_at,1,3.869787133,AF215668,Mm.28262,regulator of G-protein signaling 2,Rgs2,,,,
1417398_at,1,3.868381048,NM_025846,Mm.276572,related RAS viral (r-ras) oncogene homolog 2,Rras2,,,,
1455642_a_at,1,3.86584872,AI844703,Mm.32883,tetraspanin 17,Tspan17,,,,
1424133_at,1,3.862705394,BC011208,Mm.27682,RIKEN cDNA 6530411B15 gene,6530411B15Rik,,,,
1451069_at,1,3.856601188,BC017621,Mm.273436,proviral integration site 3,Pim3,,,,
1448503_at,1,3.85072772,BC003839,Mm.1639,myeloid cell leukemia sequence 1,Mcl1,,,,
1434265_s_at,1,3.838405436,BQ174638,Mm.220242,"ankyrin 2, brain",Ank2,,,,
1419247_at,1,3.83647108,AF215668,Mm.28262,regulator of G-protein signaling 2,Rgs2,,,,
1449041_a_at,1,3.818244694,NM_011639,Mm.27063,thyroid hormone receptor interactor 6,Trip6,,,,
1455206_at,1,3.81358571,BQ175276,---,hypothetical protein C130006E23,C130006E23,,,,
1424683_at,1,3.811481146,BC019494,Mm.25311,RIKEN cDNA 1810015C04 gene,1810015C04Rik,,,,
1423584_at,1,3.805087166,AI481026,Mm.233470,insulin-like growth factor binding protein 7,Igfbp7,,,,
1418174_at,1,3.794315554,BC018323,Mm.3459,D site albumin promoter binding protein,Dbp,,,,
1455399_at,1,3.785502379,BB739754,Mm.331958,connector enhancer of kinase suppressor of Ras 1,Cnksr1,,,,
1428221_at,1,3.784827536,AK019849,Mm.283194,RIKEN cDNA 4931406O17 gene,4931406O17Rik,,,,
1452359_at,1,3.781053851,BI248354,Mm.243632,expressed sequence AA536743,AA536743,,,,
1426663_s_at,1,3.775246822,BC024519,Mm.200307,prostate cancer associated protein 6,Pcanap6,,,,
1420008_s_at,1,3.769084977,AU017197,Mm.31267,cDNA sequence BC037006,BC037006,,,,
1428252_at,1,3.739774377,AA881383,Mm.269800,chromatin modifying protein 2B,Chmp2b,,,,
1438852_x_at,1,3.736354721,BB099487,Mm.4933,"minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)",Mcm6,,,,
1417065_at,1,3.729255533,NM_007913,Mm.181959,early growth response 1,Egr1,,,,
1455320_at,1,3.727648641,BQ176847,Mm.355281,expressed sequence AI480535,AI480535,,,,
1457716_at,1,3.727235318,BM235074,Mm.272336,"Zinc finger, A20 domain containing 1",Za20d1,,,,
1419873_s_at,1,3.702864539,AI323359,Mm.22574,colony stimulating factor 1 receptor,Csf1r,,,,
1455287_at,1,3.701710112,BM238926,Mm.31672,cyclin-dependent kinase 6,Cdk6,,,,
1418826_at,1,3.696065663,NM_027209,Mm.278844,"membrane-spanning 4-domains, subfamily A, member 6B",Ms4a6b,,,,
1424624_at,1,3.693864456,BC022741,Mm.216217,RIKEN cDNA 2900011O08 gene,2900011O08Rik,,,,
1437302_at,1,3.685949747,AV083350,Mm.5598,"adrenergic receptor, beta 2",Adrb2,,,,
1457701_at,1,3.679619793,BB457336,Mm.346482,Transcribed locus,---,,,,
1426263_at,1,3.67850923,AY059394,Mm.178322,"immunoglobulin superfamily, member 4C",Igsf4c,,,,
1420349_at,1,3.67109357,NM_008966,Mm.331442,prostaglandin F receptor,Ptgfr,,,,
1420731_a_at,1,3.655795205,NM_007792,Mm.2020,cysteine and glycine-rich protein 2,Csrp2,,,,
1443147_at,1,3.643021168,BB505010,Mm.23581,Transcribed locus,---,,,,
1448635_at,1,3.642135167,NM_008017,Mm.2999,SMC2 structural maintenance of chromosomes 2-like 1 (yeast),Smc2l1,,,,
1456480_at,1,3.638577954,BB527078,Mm.216590,RIKEN cDNA 9330186A19 gene,9330186A19Rik,,,,
1428976_at,1,3.635690044,AK017463,Mm.159684,thymopoietin,Tmpo,,,,
1441793_at,1,3.630661548,BB824091,Mm.46176,"Protein phosphatase 1, regulatory (inhibitor) subunit 11",Ppp1r11,,,,
1456395_at,1,3.626489983,BM120569,Mm.259072,"peroxisome proliferative activated receptor, gamma, coactivator 1 alpha",Ppargc1a,,,,
1418780_at,1,3.626100167,NM_018887,Mm.17991,"cytochrome P450, family 39, subfamily a, polypeptide 1",Cyp39a1,,,,
1436549_a_at,1,3.619413329,BE685966,Mm.299367,Heterogeneous nuclear ribonucleoprotein A1,Hnrpa1,,,,
1438030_at,1,3.616263581,BB042252,Mm.329203,"RAS, guanyl releasing protein 3",Rasgrp3,,,,
1423233_at,1,3.605351466,BB831146,Mm.347407,"CCAAT/enhancer binding protein (C/EBP), delta",Cebpd,,,,
1448433_a_at,1,3.597307431,NM_008788,Mm.262345,procollagen C-proteinase enhancer protein,Pcolce,,,,
1425519_a_at,1,3.595619747,BC003476,Mm.276499,Ia-associated invariant chain,Ii,,,,
1416332_at,1,3.594649376,NM_007705,Mm.17898,cold inducible RNA binding protein,Cirbp,,,,
1442340_x_at,1,3.593473315,BB533736,Mm.1231,cysteine rich protein 61,Cyr61,,,,
1425652_s_at,1,3.593146911,AF148511,Mm.323997,RNA binding protein gene with multiple splicing,Rbpms,,,,
1420908_at,1,3.586733915,BB398671,Mm.218637,CD2-associated protein,Cd2ap,,,,
1452143_at,1,3.58666018,BQ174069,Mm.123110,spectrin beta 2,Spnb2,,,,
1420703_at,1,3.580752757,BM941868,---,"colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)",Csf2ra,,,,
1431213_a_at,1,3.579810124,BG297038,---,RIKEN cDNA 1300007C21 gene /// similar to Retrovirus-related POL polyprotein (Endonuclease) /// similar to Retrovirus-related Pol polyprotein (Endonuclease),1300007C21Rik /// LOC433762 /// LOC546083,,,,
1450699_at,1,3.568435311,NM_009150,Mm.196558,selenium binding protein 1,Selenbp1,,,,
1429359_s_at,1,3.557382307,AK003434,Mm.323997,RNA binding protein gene with multiple splicing,Rbpms,,,,
1427345_a_at,1,3.556547129,AK002700,Mm.17339,"sulfotransferase family 1A, phenol-preferring, member 1",Sult1a1,,,,
1437100_x_at,1,3.554858548,BB206220,Mm.273436,proviral integration site 3,Pim3,,,,
1458218_s_at,1,3.554335446,AU015378,Mm.296814,phosphodiesterase 7A,Pde7a,,,,
1448591_at,1,3.551473687,NM_021281,Mm.3619,cathepsin S,Ctss,,,,
1453119_at,1,3.545850439,BB530087,Mm.83981,OTU domain containing 1,Otud1,,,,
1422445_at,1,3.545807642,BM935811,Mm.225096,integrin alpha 6,Itga6,,,,
1452431_s_at,1,3.533259648,AF119253,Mm.235338,"histocompatibility 2, class II antigen A, alpha",H2-Aa,,,,
1426419_at,1,3.525183348,AK005802,Mm.291542,RIKEN cDNA 1700009P03 gene,Rbm26,,,,
1454607_s_at,1,3.52226923,AV216491,Mm.289936,phosphoserine aminotransferase 1,Psat1,,,,
1448752_at,1,3.520125133,NM_009801,Mm.1186,carbonic anhydrase 2,Car2,,,,
1424589_s_at,1,3.512506418,BC016603,Mm.374812,"RNA-binding region (RNP1, RRM) containing 3",Rnpc3,,,,
1449491_at,1,3.511013555,NM_130859,Mm.17629,"caspase recruitment domain family, member 10",Card10,,,,
1416563_at,1,3.50805534,NM_016748,Mm.1815,cytidine 5'-triphosphate synthase,Ctps,,,,
1419573_a_at,1,3.494006432,NM_008495,Mm.43831,"lectin, galactose binding, soluble 1",Lgals1,,,,
1437807_x_at,1,3.490639305,BB066232,Mm.18962,"catenin (cadherin associated protein), alpha 1",Ctnna1,,,,
1448735_at,1,3.486913744,BB332449,Mm.13787,ceruloplasmin,Cp,,,,
1419155_a_at,1,3.486318716,AI428101,Mm.240627,SRY-box containing gene 4,Sox4,,,,
1417380_at,1,3.479762178,NM_016721,Mm.207619,IQ motif containing GTPase activating protein 1,Iqgap1,,,,
1422912_at,1,3.470719178,NM_007554,Mm.6813,bone morphogenetic protein 4,Bmp4,,,,
1415972_at,1,3.468848319,AW546141,Mm.30059,myristoylated alanine rich protein kinase C substrate,Marcks,,,,
1424169_at,1,3.447123321,BC008166,Mm.186,Tax1 (human T-cell leukemia virus type I) binding protein 3,Tax1bp3,,,,
1438201_at,1,3.443221312,AV290622,Mm.363362,Transcribed locus,---,,,,
1436902_x_at,1,3.441167619,BB096368,Mm.3532,"thymosin, beta 10",Tmsb10,,,,
1455316_x_at,1,3.429105788,AI987693,Mm.86541,CCR4 carbon catabolite repression 4-like (S. cerevisiae),Ccrn4l,,,,
1417101_at,1,3.428516899,BC004714,Mm.296181,heat shock protein 2,Hspa2,,,,
1436643_x_at,1,3.42531975,AV051678,Mm.370234,hepcidin antimicrobial peptide 2,Hamp2,,,,
1429004_at,1,3.425168044,AK012667,Mm.221688,pleckstrin homology domain interacting protein,Phip,,,,
1427076_at,1,3.421122336,L20315,Mm.3999,macrophage expressed gene 1,Mpeg1,,,,
1427243_at,1,3.420720639,BI248354,Mm.243632,expressed sequence AA536743,AA536743,,,,
1435319_at,1,3.42044324,BB777667,Mm.276336,RIKEN cDNA 1500005N04 gene,1500005N04Rik,,,,
1416614_at,1,3.418227448,BC010712,Mm.44244,CREBBP/EP300 inhibitory protein 1,Cri1,,,,
1420907_at,1,3.411022512,BB398671,Mm.218637,CD2-associated protein,Cd2ap,,,,
1434306_at,1,3.406782485,BF319015,Mm.336394,RAB3A interacting protein,Rab3ip,,,,
1428748_at,1,3.404164705,BM202530,---,RIKEN cDNA 5830428H23 gene,5830428H23Rik,,,,
1437185_s_at,1,3.402671352,AV148480,Mm.3532,"thymosin, beta 10",Tmsb10,,,,
1437155_a_at,1,3.402556353,BG066193,Mm.227202,WW domain containing transcription regulator 1,Wwtr1,,,,
1431334_a_at,1,3.392691744,AK017049,Mm.248019,RIKEN cDNA 4933433P14 gene,4933433P14Rik,,,,
1434474_at,1,3.39261695,BM937648,Mm.41942,"ATP-binding cassette, sub-family A (ABC1), member 5",Abca5,,,,
1418539_a_at,1,3.381321733,U35368,Mm.945,"protein tyrosine phosphatase, receptor type, E",Ptpre,,,,
1416411_at,1,3.373130396,NM_008183,Mm.272792,"glutathione S-transferase, mu 2",Gstm2,,,,
1447500_at,1,3.366350439,BB129488,Mm.156172,Transcribed locus,---,,,,
1451687_a_at,1,3.36048974,AI987804,Mm.7226,transcription factor 2,Tcf2,,,,
1417435_at,1,3.360489063,BG261907,Mm.324371,like-glycosyltransferase,Large,,,,
1451190_a_at,1,3.356112878,BC025837,Mm.29660,SH3-binding kinase 1,Sbk1,,,,
1435290_x_at,1,3.355958469,BE688749,Mm.235338,"histocompatibility 2, class II antigen A, alpha",H2-Aa,,,,
1450061_at,1,3.354709391,BM120053,Mm.241073,ectodermal-neural cortex 1,Enc1,,,,
1417177_at,1,3.352381621,NM_016905,Mm.2820,galactokinase 1,Galk1,,,,
1416246_a_at,1,3.348255627,BC002136,Mm.290482,"coronin, actin binding protein 1A",Coro1a,,,,
1416799_at,1,3.345754327,AV320241,Mm.244705,"transient receptor potential cation channel, subfamily M, member 7",Trpm7,,,,
1435343_at,1,3.325247473,BF715043,Mm.133473,dedicator of cytokinesis 10,Dock10,,,,
1448710_at,1,3.315691535,D87747,Mm.1401,chemokine (C-X-C motif) receptor 4,Cxcr4,,,,
1434376_at,1,3.30887874,AW146109,Mm.330428,CD44 antigen,Cd44,,,,
1429831_at,1,3.308336415,BI684288,Mm.222266,phosphoinositide-3-kinase adaptor protein 1,Pik3ap1,,,,
1452416_at,1,3.307835568,X53802,Mm.2856,"interleukin 6 receptor, alpha",Il6ra,,,,
1447830_s_at,1,3.306427408,BB034265,Mm.28262,regulator of G-protein signaling 2,Rgs2,,,,
1423626_at,1,3.301770891,BB150886,Mm.336625,dystonin,Dst,,,,
1439794_at,1,3.299686077,BQ086474,Mm.59574,Transcribed locus,---,,,,
1424594_at,1,3.296021874,BC011507,---,---,---,,,,
1419657_a_at,1,3.29434847,BB503267,Mm.228067,"solute carrier family 25, member 36",Slc25a36,,,,
1430019_a_at,1,3.293844694,AK007802,Mm.237064,heterogeneous nuclear ribonucleoprotein A1,Hnrpa1,,,,
1456590_x_at,1,3.292218393,BB469763,Mm.359173,"aldo-keto reductase family 1, member B3 (aldose reductase) /// similar to Aldo-keto reductase family 1, member B3 (aldose reductase)",Akr1b3 /// LOC432549,,,,
1417749_a_at,1,3.27949269,NM_009386,Mm.4342,tight junction protein 1,Tjp1,,,,
1425281_a_at,1,3.277356349,AF201289,Mm.22216,TSC22 domain family 3,Tsc22d3,,,,
1460606_at,1,3.277295336,AV050442,Mm.284944,hydroxysteroid (17-beta) dehydrogenase 13,Hsd17b13,,,,
1451229_at,1,3.267530487,BC016208,Mm.206218,histone deacetylase 11,Hdac11,,,,
1439352_at,1,3.263770949,BB825733,Mm.214503,tripartite motif protein 7,Trim7,,,,
1423531_a_at,1,3.248946131,BI663320,Mm.237064,heterogeneous nuclear ribonucleoprotein A1,Hnrpa1,,,,
1431176_at,1,3.248239688,AK008733,Mm.24595,RIKEN cDNA 2310010I16 gene,2310010I16Rik,,,,
1451651_at,1,3.248020453,BC025105,Mm.26781,V-set and immunoglobulin domain containing 4,Vsig4,,,,
1435893_at,1,3.245837709,BB127955,Mm.4141,very low density lipoprotein receptor,Vldlr,,,,
1434278_at,1,3.243292568,BG976607,Mm.274981,X-linked myotubular myopathy gene 1,Mtm1,,,,
1425202_a_at,1,3.237868799,BC021657,Mm.235960,"ankyrin 3, epithelial",Ank3,,,,
1451839_a_at,1,3.237741485,AY007702,Mm.296814,phosphodiesterase 7A,Pde7a,,,,
1422124_a_at,1,3.234673907,NM_011210,Mm.130953,"protein tyrosine phosphatase, receptor type, C",Ptprc,,,,
1424981_at,1,3.23403725,BC016224,Mm.127692,neurolysin (metallopeptidase M3 family),Nln,,,,
1436532_at,1,3.232321602,BB326709,Mm.26361,doublecortin and CaM kinase-like 3,Dcamkl3,,,,
1443253_at,1,3.231154868,BI076661,---,---,---,,,,
1419123_a_at,1,3.224171886,NM_019971,Mm.331089,"platelet-derived growth factor,  C polypeptide",Pdgfc,,,,
1452262_at,1,3.222577608,AK003011,Mm.269657,"GrpE-like 2, mitochondrial",Grpel2,,,,
1453377_at,1,3.222058991,AK008803,Mm.40974,SH2 domain containing 4A,Sh2d4a,,,,
1460342_s_at,1,3.218851337,U73200,Mm.2402,expressed sequence AA536749,AA536749,,,,
1429166_s_at,1,3.217658969,AW494443,Mm.244078,Calmin,Clmn,,,,
1448715_x_at,1,3.207046214,NM_010490,Mm.86541,CCR4 carbon catabolite repression 4-like (S. cerevisiae) /// intracisternal A particles /// pol polyprotein /// similar to hypothetical protein PC403257.00.0,Ccrn4l /// Iap /// LOC280487 /// LOC432899,,,,
1460444_at,1,3.205568606,AK004614,Mm.260193,"arrestin, beta 1",Arrb1,,,,
1457823_at,1,3.193289256,BB533736,Mm.1231,cysteine rich protein 61,Cyr61,,,,
1430020_x_at,1,3.182955551,AK007802,Mm.237064,heterogeneous nuclear ribonucleoprotein A1 /// similar to Heterogeneous nuclear ribonucleoprotein A1 (Helix-destabilizing protein) (Single-strand binding protein) (hnRNP core protein A1) (HDP-1) (Topoisomerase-inhibitor suppressed),Hnrpa1 /// LOC225307,,,,
1454809_at,1,3.181663793,BE686893,Mm.297903,nuclear receptor coactivator 7,Ncoa7,,,,
1438009_at,1,3.177068622,W91024,Mm.250564 /// Mm.347700,"Histone 1, H2ad /// CDNA clone MGC:103288 IMAGE:5150365, complete cds",Hist1h2ad,,,,
1419598_at,1,3.175601005,NM_026835,Mm.290390,"membrane-spanning 4-domains, subfamily A, member 6D",Ms4a6d,,,,
1455269_a_at,1,3.172797573,BB740218,Mm.290482,"coronin, actin binding protein 1A",Coro1a,,,,
1415907_at,1,3.168462669,NM_007632,Mm.246520,cyclin D3,Ccnd3,,,,
1419872_at,1,3.168287636,AI323359,Mm.22574,colony stimulating factor 1 receptor,Csf1r,,,,
1434581_at,1,3.166049641,BB167663,---,---,---,,,,
1457658_x_at,1,3.153028782,AV062214,Mm.259702,annexin A4,Anxa4,,,,
1417852_x_at,1,3.152607846,AF047838,Mm.275745,chloride channel calcium activated 1,Clca1,,,,
1417843_s_at,1,3.146644301,NM_133191,Mm.27451,EPS8-like 2,Eps8l2,,,,
1456069_at,1,3.135955194,BM117918,Mm.94371,dystrobrevin alpha,Dtna,,,,
1426759_at,1,3.135415955,BF165548,Mm.311948,mitogen-activated protein kinase kinase kinase kinase 3,Map4k3,,,,
1454808_at,1,3.134325801,BQ176617,Mm.26834,EF hand domain family A1,Efha1,,,,
1426819_at,1,3.133946702,BG076079,Mm.257925,Homeodomain interacting protein kinase 3,Hipk3,,,,
1448123_s_at,1,3.133504578,NM_009369,Mm.14455,"transforming growth factor, beta induced",Tgfbi,,,,
1434853_x_at,1,3.132126774,AA717142,Mm.270484,"makorin, ring finger protein, 1",Mkrn1,,,,
1429313_at,1,3.131762982,AK012979,Mm.57252,receptor tyrosine kinase-like orphan receptor 1,Ror1,,,,
1436355_at,1,3.13111298,BE136429,---,---,---,,,,
1451721_a_at,1,3.13001763,M15848,Mm.254067,"histocompatibility 2, class II antigen A, beta 1",H2-Ab1,,,,
1428835_at,1,3.127813891,AK010278,Mm.358743,"myosin, heavy polypeptide 14",Myh14,,,,
1422823_at,1,3.122787285,NM_007945,Mm.235346,epidermal growth factor receptor pathway substrate 8,Eps8,,,,
1416418_at,1,3.122480281,AF180518,Mm.14638,gamma-aminobutyric acid (GABA(A)) receptor-associated protein-like 1,Gabarapl1,,,,
1438041_at,1,3.121047478,BG963325,Mm.296814,Phosphodiesterase 7A,Pde7a,,,,
1415822_at,1,3.119612706,BG060909,Mm.193096,stearoyl-Coenzyme A desaturase 2,Scd2,,,,
1452358_at,1,3.119158519,BB770528,Mm.328503,retinoic acid induced 2,Rai2,,,,
1452127_a_at,1,3.114529673,BM236743,Mm.3414,"protein tyrosine phosphatase, non-receptor type 13",Ptpn13,,,,
1449851_at,1,3.112332503,AF022992,Mm.7373,period homolog 1 (Drosophila),Per1,,,,
1417601_at,1,3.108432455,NM_015811,Mm.103701,regulator of G-protein signaling 1,Rgs1,,,,
1420682_at,1,3.106932503,M14537,Mm.86425,"cholinergic receptor, nicotinic, beta polypeptide 1 (muscle)",Chrnb1,,,,
1416590_a_at,1,3.102868615,AF327929,Mm.275864,"RAB34, member of RAS oncogene family",Rab34,,,,
1449059_a_at,1,3.101132057,NM_024188,Mm.13445,3-oxoacid CoA transferase 1,Oxct1,,,,
1438957_x_at,1,3.094383244,BB027654,Mm.284503,CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2,Cds2,,,,
1448149_at,1,3.091988366,NM_009818,Mm.18962,"catenin (cadherin associated protein), alpha 1",Ctnna1,,,,
1436890_at,1,3.090938661,BG963358,Mm.33797,UDP-N-acteylglucosamine pyrophosphorylase 1-like 1,Uap1l1,,,,
1422449_s_at,1,3.090910023,NM_011992,Mm.1782,reticulocalbin 2,Rcn2,,,,
1448272_at,1,3.090146414,NM_007570,Mm.239605,"B-cell translocation gene 2, anti-proliferative",Btg2,,,,
1449110_at,1,3.088745013,BC018275,Mm.687,"ras homolog gene family, member B",Rhob,,,,
1426801_at,1,3.088551358,BB756379,Mm.274399,septin 8,8-Sep,,,,
1423432_at,1,3.086048766,BB425239,Mm.221688,pleckstrin homology domain interacting protein,Phip,,,,
1432416_a_at,1,3.077261398,AK005498,Mm.6343,nucleophosmin 1,Npm1,,,,
1434620_s_at,1,3.0705259,AV113735,Mm.292258,RIKEN cDNA 2610024E20 gene,2610024E20Rik,,,,
1422824_s_at,1,3.070186138,NM_007945,Mm.235346,epidermal growth factor receptor pathway substrate 8,Eps8,,,,
1424239_at,1,3.070152547,BC006820,Mm.41261,RIKEN cDNA 2310066E14 gene,2310066E14Rik,,,,
1449106_at,1,3.063674015,NM_008161,Mm.200916,glutathione peroxidase 3,Gpx3,,,,
